区域,小区名称,户型,面积(㎡),朝向,价格(元/月)
盐田区-沙头角,鹏瑞尚府,1室0厅1卫,39.00,东,3300
龙岗区-坪地,今日香沙御景园,2室1厅1卫,57.00,南,2880
龙华区-民治,潜龙鑫茂花园B区,2室1厅1卫,69.00,东南,4750
罗湖区-黄贝岭,深业东岭二期,3室2厅2卫,87.00,东南,9030
南山区-科技园,松坪村西区三期,2室1厅1卫,48.93,西北,4600
南山区-科技园,晶品居,3室2厅1卫,78.00,南,7600
福田区-香蜜湖,熙园,3室2厅2卫,160.00,南,29000
宝安区-翻身,里仁府,3室1厅2卫,120.00,东南,8200
盐田区-梅沙,水云间雅居,2室1厅1卫,59.00,东,2600
宝安区-沙井,鸿荣源珈誉府2区,2室1厅1卫,65.00,东南,5000
宝安区-新安,灵芝新村,2室1厅1卫,65.30,东南,4000
福田区-梅林,辉煌时代大厦,1室1厅1卫,40.00,东南,4800
龙岗区-龙岗宝荷,京基御景荟都,1室1厅1卫,37.00,南 北,2600
龙岗区-平湖,融湖中心城三期,4室2厅2卫,109.00,南,6200
罗湖区-清水河,旭飞华天苑,1室0厅1卫,20.00,东,1900
南山区-南山中心,向南瑞峰花园,1室1厅1卫,42.41,东,5500
宝安区-福永,万科金色领域,3室2厅1卫,88.00,南,5500
福田区-赤尾,京基御景华城,3室2厅2卫,84.00,西南,7500
坪山区-坪山,深城投中心公馆,1室0厅1卫,25.00,北,1800
福田区-石厦,皇都广场,1室1厅0卫,61.87,西北,4700
宝安区-西乡,流塘阳光花园,2室1厅1卫,46.62,西南,4800
宝安区-福永,鸿荣源珈誉府,3室2厅2卫,85.00,东南,5500
龙岗区-龙岗宝荷,京基御景荟都,1室1厅1卫,35.50,南,2200
南山区-前海,诺德假日花园,4室2厅1卫,145.00,东南,15000
龙岗区-坂田,万科城一期,3室2厅3卫,146.00,南,13000
罗湖区-螺岭,东门168,1室1厅1卫,42.45,南,3700
罗湖区-万象城,粤华小区,3室2厅1卫,90.00,东南 南 北,7000
龙岗区-坂田,万科城三期,4室2厅3卫,184.53,南,17500
福田区-竹子林,佳泰兴苑,4室2厅2卫,78.35,南,10500
宝安区-翻身,海天花园,3室2厅1卫,89.00,东南,5400
龙岗区-龙岗双龙,金汐府,3室2厅2卫,56.00,西南,2700
南山区-蛇口,花果山小区,2室1厅1卫,65.00,东,5500
南山区-南山中心,凯德公园1号,4室1厅1卫,193.00,南,24000
龙岗区-丹竹头,合正丹郡,1室1厅1卫,48.00,东北,3400
龙岗区-龙岗中心城,全盛紫悦龙庭,5室2厅3卫,126.86,东北,7500
南山区-前海,卓越前海壹号,3室2厅3卫,193.00,西南,27000
龙岗区-坂田,万科城四期,3室2厅2卫,123.00,南,7600
罗湖区-莲塘,鹏基公寓,1室1厅1卫,30.00,南,2500
福田区-福田中心,彩天名苑,3室1厅1卫,86.00,东,9000
南山区-南山中心,登良花园,3室2厅2卫,96.00,南,7000
南山区-南头,南贸中心,1室0厅1卫,28.00,北,3580
宝安区-松岗,联投东方华府一期,1室1厅1卫,49.00,南,3000
光明区-光明,新地中央花园,1室0厅1卫,25.00,东南,2200
罗湖区-万象城,城市天地广场,1室1厅1卫,50.95,北,4500
福田区-石厦,益田村,3室2厅1卫,86.28,南,8000
南山区-南山中心,中海丽苑,2室2厅1卫,74.22,东南,6280
南山区-科技园,锦隆花园,3室2厅2卫,113.00,北,10500
福田区-车公庙,趣园,1室1厅1卫,52.00,北,7500
福田区-香蜜湖,香蜜湖豪庭,2室1厅1卫,55.00,南,7680
福田区-梅林,皇庭世茂裕玺,1室1厅1卫,48.00,东南 南,6300
宝安区-松岗,畔山御景花园,1室1厅1卫,60.82,西南,2800
宝安区-西乡,富通V都会,3室2厅1卫,91.21,东南,5500
宝安区-宝安中心,鸿荣源·壹方中心·玖誉,5室1厅1卫,20.00,南,4200
龙岗区-龙岗中心城,保利上城,3室2厅1卫,78.00,东南,4800
龙岗区-横岗,星河智荟,2室1厅1卫,65.00,西北,3800
福田区-上下沙,红树家邻,1室0厅1卫,20.28,东,2700
罗湖区-黄贝岭,深业东岭二期,2室1厅1卫,70.00,西北,7300
南山区-前海,远洋滨海大厦,2室1厅1卫,70.00,东南,7800
龙岗区-龙岗中心城,仁恒梦公园,1室1厅1卫,38.00,东南,2400
宝安区-新安,建兴楼,2室1厅1卫,61.00,东,4000
龙岗区-龙岗中心城,华策中心城,3室2厅2卫,88.98,东南,4600
龙华区-红山,龙光玖钻,2室2厅2卫,52.00,西南,5900
福田区-福田中心,彩虹新都,3室2厅2卫,120.00,东北,9500
光明区-公明,中粮云景广场,3室2厅2卫,61.99,西,3800
南山区-南山中心,愉康花园,4室1厅2卫,76.00,南,7200
南山区-科技园,豪方花园,1室1厅1卫,49.00,北,4300
坪山区-坪山,润樾山,3室2厅2卫,99.13,东南,3800
罗湖区-春风路,长丰苑,2室2厅1卫,68.29,东北,5200
龙岗区-平湖,佳兆业金御佳园,4室2厅2卫,133.00,南,6500
福田区-赤尾,京基御景华城,2室1厅1卫,61.00,北,6000
福田区-福田保税区,城市3米6公寓,2室1厅1卫,35.00,西南,5500
龙华区-龙华中心,壹成中心第九区,5室2厅2卫,130.00,北,7000
南山区-西丽,桃源村二期,3室2厅1卫,93.00,东南 南,6300
罗湖区-翠竹,合正星园,3室2厅1卫,89.00,西南,10000
福田区-皇岗,嘉意台,2室1厅1卫,76.00,西北,7000
南山区-南山中心,龙城新苑,2室1厅1卫,24.00,东南,2880
南山区-蛇口,半岛花园A区,1室0厅0卫,23.00,东南,2500
南山区-红树湾,瑧湾汇,3室2厅2卫,87.83,南,23000
龙岗区-龙岗中心城,阅山公馆,4室2厅3卫,84.00,南,6000
龙岗区-横岗,荣德SPACE,2室2厅1卫,67.00,西北,4000
南山区-南山中心,登良花园,2室1厅2卫,24.00,东南,2580
龙岗区-坪地,中骏云景府,3室2厅1卫,80.00,西南,3200
宝安区-新安,玖悦,2室2厅1卫,82.00,西南,7800
龙岗区-平湖,熙璟城,3室2厅1卫,88.20,东南,4600
南山区-蛇口,半岛城邦花园三期,5室2厅4卫,230.00,南,58000
龙华区-红山,莱蒙水榭春天二期,3室2厅2卫,89.00,南,7200
龙岗区-横岗,荣德国际ECC,3室2厅2卫,58.00,东南,4200
福田区-福田中心,中深花园大厦,3室2厅2卫,122.00,东南,13000
南山区-科技园,华润城万象府,1室1厅2卫,90.00,北,14000
南山区-蛇口,海景广场,3室2厅2卫,147.00,西南,11800
龙华区-民治,世纪春城四期,3室2厅1卫,75.30,南,5200
龙华区-梅林关,新彩苑,1室1厅1卫,34.00,西南,4500
龙华区-梅林关,新彩苑,1室1厅1卫,37.00,东北,4300
南山区-南头,南贸中心,1室1厅1卫,20.00,南,2850
福田区-梅林,大众公寓,2室2厅1卫,61.73,北,4200
龙岗区-横岗,银信中心二期,4室2厅2卫,89.00,南,5900
福田区-景田,市政大院,3室2厅2卫,127.00,南,14000
福田区-福田中心,岗厦汇花园,2室1厅1卫,80.00,北,12800
南山区-蛇口,榆园三期,南,南山区-蛇口-榆园三期,18.00㎡,2330
坪山区-坪山,奥园翡翠东湾,2室2厅1卫,65.00,东北,2900
龙岗区-龙岗双龙,水岸新都四五期,3室2厅2卫,140.00,南,3600
宝安区-沙井,鸿荣源珈誉府2区,3室2厅2卫,86.00,西北,7500
龙岗区-龙岗中心城,和兴苑,2室1厅1卫,54.00,南,2500
罗湖区-东门,洪湖大厦,1室0厅1卫,38.00,西南,2800
宝安区-翻身,宝新花园,南,宝安区-翻身-宝新花园,12.10㎡,2190
福田区-景田,安栢丽晶,5室2厅4卫,249.00,南,22000
龙岗区-龙岗中心城,紫薇花园东区,南,龙岗区-龙岗中心城-紫薇花园东区,8.90㎡,1030
罗湖区-螺岭,京基东方颐园,2室1厅1卫,56.00,东南,5000
福田区-百花,南天二花园,2室1厅1卫,82.50,南,8500
南山区-科技园,科技园三十六区,5室1厅2卫,13.20,西,2360
南山区-西丽,学子荔园,4室1厅2卫,9.40,北,1860
南山区-南头,马家龙大新工业村,4室1厅1卫,11.50,南,1890
龙岗区-布吉街,翠枫豪园二期,3室2厅1卫,102.44,南,5200
龙岗区-龙岗中心城,保利上城,4室2厅2卫,167.79,南,8500
福田区-竹子林,竹园小区,3室2厅1卫,76.57,西,6100
龙岗区-平湖,凤冠华庭,3室2厅2卫,89.00,东,5000
宝安区-航城,天福华府,3室2厅1卫,89.00,南,6500
福田区-福田中心,金中环国际商务大厦,2室1厅1卫,92.73,南,13770
罗湖区-布心,悦彩城（西北地块）,3室1厅2卫,53.00,东南,6200
龙华区-梅林关,书香门第上河坊,1室1厅1卫,43.60,西南,4000
南山区-科技园,缘来居,1室1厅1卫,50.00,西南,5200
南山区-科技园,汇景豪苑,4室1厅2卫,5.83,东,1660
南山区-深圳湾,太古城南,1室1厅1卫,40.68,东,7500
龙岗区-坂田,中海日辉台,3室2厅2卫,85.90,南 北,5800
龙岗区-坂田,万科四季花城七期,5室1厅2卫,7.95,北,1360
龙岗区-龙岗宝荷,中海阳光橡树园,3室2厅1卫,81.00,东南,3700
坪山区-坪山,世茂广场,1室1厅1卫,37.00,北,2100
南山区-西丽,宝珠花园,4室1厅2卫,5.48,北,1460
,未知小区,2室1厅1卫,48.00,1间在租,3550
龙岗区-布吉南岭,文峰华庭,5室2厅2卫,166.00,南,6500
南山区-科技园,华润城润府一期,3室2厅2卫,124.76,东南,17500
,未知小区,1室0厅1卫,16.00,1间在租,1400
罗湖区-翠竹,翡翠公寓,2室1厅1卫,33.00,东南,4500
,未知小区,1室0厅1卫,25.00,1间在租,1264
,未知小区,1室0厅1卫,25.00,1间在租,1224
南山区-华侨城,香山美墅云颂,4室2厅2卫,171.00,南,23000
,未知小区,1室1厅1卫,40.00,1间在租,1616
龙岗区-龙岗中心城,远洋新天地家园,3室2厅2卫,89.00,东南,3600
龙岗区-布吉街,德福花园,2室2厅1卫,55.00,北,2500
龙岗区-布吉大芬,倚龙华庭,2室2厅1卫,47.76,南,4100
,未知小区,1室0厅1卫,20.00,2间在租,1240-1376
罗湖区-地王,京基一百大厦,1室0厅1卫,31.00,南,4200
,未知小区,1室1厅1卫,19.00,1间在租,1666
龙华区-龙华中心,壹成中心第三区,3室2厅2卫,89.00,南,6800
龙华区-红山,龙光玖钻,2室1厅1卫,39.00,南,4800
福田区-福田中心,彩福大厦,3室2厅1卫,95.00,东南,9300
,未知小区,1室0厅1卫,17.00,1间在租,1424
福田区-竹子林,海德园,4室2厅3卫,161.00,南,32000
,未知小区,1室1厅1卫,20.00,1间在租,1734
宝安区-宝安中心,富通好旺角一期,1室2厅1卫,35.00,东南,4800
,未知小区,2室2厅1卫,70.00,1间在租,6200
南山区-南山中心,友邻公寓,2室1厅1卫,50.00,南 北,4880
福田区-皇岗,庆典大厦,3室2厅1卫,82.89,南,7000
,未知小区,2室2厅1卫,73.00,1间在租,6500
,未知小区,1室0厅1卫,44.00,3间在租,3380
南山区-南山中心,时代骄子大厦,1室1厅1卫,39.00,南,5000
南山区-南山中心,愉康花园,2室1厅1卫,52.00,东南,5000
,未知小区,1室1厅1卫,45.00,1间在租,3300
福田区-香蜜湖,东海国际公寓,3室2厅3卫,191.83,西北,29500
龙岗区-平湖,昊龙华庭,3室2厅2卫,91.00,南,2500
南山区-蛇口,蓬莱花园,南,南山区-蛇口-蓬莱花园,12.80㎡,2630
龙华区-观澜,懿花园,4室1厅5卫,183.85,南,12000
福田区-香蜜湖,香蜜湖度假村家属楼,3室1厅1卫,76.00,南,7000
龙岗区-龙岗中心城,金地龙城中央一期,南,龙岗区-龙岗中心城-金地龙城中央一期,9.50㎡,1130
盐田区-沙头角,壹海中心,1室0厅0卫,186.00,南,40000
福田区-上下沙,金地花园,南,福田区-上下沙-金地花园,11.90㎡,1890
龙岗区-布吉石芽岭,观山大卫华庭,5室2厅4卫,206.68,南 北,9300
福田区-香蜜湖,东海国际公寓,3室2厅2卫,182.00,南,20000
坪山区-坪山,花样年·旭辉·好时光,4室2厅2卫,120.00,南,4900
南山区-华侨城,光侨街住宅区,南,南山区-华侨城-光侨街住宅区,11.00㎡,2330
龙岗区-龙岗双龙,深房传麒尚林,4室4厅3卫,208.00,南 北,23000
盐田区-沙头角,梅花楼,3室2厅1卫,91.00,东南,3200
南山区-前海,山水情家园,5室2厅3卫,169.00,东南,20000
福田区-景田,橄榄绿洲,2室2厅1卫,77.00,南,9000
福田区-福田中心,皇家翠苑,6室3厅4卫,304.87,西,68000
光明区-光明,金融街华发·融御花园,5室1厅2卫,5.54,北,1130
南山区-蛇口,弘都世纪公寓,5室2厅2卫,130.00,南 北,12000
南山区-后海,南油B区,6室1厅2卫,30.00,东南,2500
龙华区-上塘,港铁天颂,4室1厅2卫,6.00,北,1430
南山区-前海,阳光棕榈园一期,4室1厅2卫,8.47,南,2130
福田区-景田,聚豪园,7室2厅2卫,247.00,南,25000
龙岗区-大运新城,世茂深港国际中心,2室1厅1卫,59.00,东,3300
宝安区-碧海,槟城西岸,6室2厅6卫,30.00,南,2800
南山区-南山中心,城市山林,4室1厅2卫,9.20,东,2260
龙华区-观澜,观湖园,4室2厅3卫,167.00,南,15000
龙华区-坂田,龙岸花园一期,8室3厅6卫,218.49,南,59000
南山区-华侨城,美加广场,3室2厅2卫,105.00,东南,13000
南山区-后海,深圳湾公馆,3室2厅3卫,86.63,东南,20000
宝安区-沙井,唐商前海双悦,2室2厅1卫,60.00,东,2000
宝安区-宝安中心,泰华梧桐聚落花园,2室1厅1卫,100.00,东北,14800
南山区-南山中心,愉康花园,南,南山区-南山中心-愉康花园,9.86㎡,1930
罗湖区-百仕达,翠竹苑,南,罗湖区-百仕达-翠竹苑,15.60㎡,1830
福田区-新洲,锦洲花园,南,福田区-新洲-锦洲花园,11.20㎡,1790
宝安区-宝安中心,泰华梧桐聚落花园,3室2厅2卫,125.35,西南,18200
南山区-南山中心,龙城新苑,南,南山区-南山中心-龙城新苑,13.90㎡,2230
福田区-沙尾,金地名轩,东北,福田区-沙尾-金地名轩,47.96㎡,5830
龙岗区-布吉街,半山道1号礼宾府,4室2厅2卫,178.00,南,8000
南山区-前海,港湾丽都,南,南山区-前海-港湾丽都,25.00㎡,2690
龙华区-坂田,春华四季园二期,南,龙华区-坂田-春华四季园二期,17.40㎡,1830
盐田区-沙头角,蓝郡广场,4室2厅3卫,155.00,东,16000
福田区-香蜜湖,枫丹雅苑,东南,福田区-香蜜湖-枫丹雅苑,14.52㎡,3990
盐田区-梅沙,天琴湾三期,3室2厅2卫,116.23,东南,13000
南山区-南山中心,荟芳园,4室2厅2卫,13.00,南,3000
龙岗区-龙岗双龙,运河蓝湾,4室2厅2卫,155.00,东南,5500
盐田区-梅沙,万科东海岸二期,5室2厅3卫,201.33,东南,8000
福田区-香蜜湖,香蜜湖水榭花都,4室2厅2卫,192.00,南,40000
盐田区-盐田港,港城蓝山雅园,6室3厅3卫,323.44,南 北,28000
龙岗区-布吉街,佳兆业壹都汇大厦,5室2厅1卫,235.70,东南 南,12000
福田区-车公庙,都市阳光名苑,2室1厅1卫,69.50,北,6500
南山区-科技园,汇园雅居,北,南山区-科技园-汇园雅居,10.50㎡,2460
福田区-皇岗,福乐雅苑,东,福田区-皇岗-福乐雅苑,10.20㎡,1730
南山区-前海,前海花园,南 北,南山区-前海-前海花园,15.00㎡,1660
龙岗区-横岗,锦荟PARK,4室1厅2卫,6.90,西,1130
盐田区-梅沙,东部华侨城天麓三区,5室2厅4卫,241.33,南,26000
福田区-车公庙,华海住宅小区,3室2厅1卫,90.00,南 北,6500
南山区-大学城,京基御景峯,4室1厅1卫,5.18,北,1760
福田区-福田中心,彩福大厦,3室2厅1卫,91.00,东南,10000
南山区-后海,南油B区,1室1厅1卫,30.00,北,3260
龙华区-红山,龙光玖钻,3室2厅2卫,71.72,东南,8500
龙岗区-龙岗中心城,仁恒梦公园,4室2厅2卫,65.86,南,3800
罗湖区-黄贝岭,景贝南小区,西南,罗湖区-黄贝岭-景贝南小区,13.86㎡,1630
南山区-南头,嘉庭苑,北,南山区-南头-嘉庭苑,12.57㎡,2090
龙岗区-丹竹头,怡乐花园,东北,龙岗区-丹竹头-怡乐花园,13.70㎡,1530
罗湖区-百仕达,翠拥华庭一期,2室2厅1卫,84.89,东 东南,6600
龙华区-龙华中心,鸿荣源尚云,3室2厅2卫,89.00,南,6700
福田区-景田,景新花园,3室2厅1卫,91.00,南,6900
龙岗区-横岗,建信天宸,1室1厅1卫,43.00,东南,3500
福田区-上下沙,碧海红树园,南,福田区-上下沙-碧海红树园,13.30㎡,3490
宝安区-宝安中心,幸福海岸一期,东北,宝安区-宝安中心-幸福海岸一期,7.30㎡,1760
盐田区-梅沙,万科东海岸二期,5室2厅2卫,190.51,东南,9600
福田区-上下沙,鸿景湾名苑,南,福田区-上下沙-鸿景湾名苑,15.20㎡,2790
南山区-南头,旺海怡苑,南,南山区-南头-旺海怡苑,9.53㎡,2130
龙华区-上塘,特发和平里二期,4室1厅1卫,9.40,南,1560
龙岗区-横岗,建信天宸,1室1厅1卫,43.00,东南,3500
龙华区-坂田,春华四季园二期,5室1厅2卫,9.70,北,1330
盐田区-沙头角,天丰公寓,3室1厅1卫,62.12,北,3000
福田区-景田,TT国际公寓,1室1厅1卫,39.93,北,5500
福田区-竹子林,金竹花园,3室2厅1卫,93.00,南,6200
盐田区-盐田港,海川阁,1室1厅1卫,47.00,南,2700
福田区-梅林,凯丰花园一期,4室1厅1卫,11.70,南,1590
南山区-科技园,汇景豪苑,3室1厅1卫,10.11,北,2190
南山区-大学城,华晖云门,4室1厅2卫,13.86,西,2860
福田区-华强北,宝树台,1室1厅1卫,43.00,西北,5500
福田区-新洲,福昌苑,4室1厅2卫,128.02,南 北,11000
龙华区-龙华新区,苹果园,2室2厅1卫,54.92,南,4500
龙岗区-坂田,万科城四期,3室2厅1卫,90.97,南,6500
南山区-西丽,珠光花半里,4室1厅2卫,8.00,南,1630
宝安区-宝安中心,天健时尚空间名苑,4室1厅2卫,8.10,西南,1860
宝安区-沙井,鸿荣源珈誉府2区,3室2厅2卫,85.00,南,5000
南山区-科技园,科技园五十八区,北,南山区-科技园-科技园五十八区,7.62㎡,1890
福田区-梅林,碧荔花园,3室2厅1卫,90.84,北,7600
南山区-南山中心,汉京山,东,南山区-南山中心-汉京山,8.77㎡,1960
南山区-前海,前海天境花园,3室2厅2卫,119.00,南,17000
罗湖区-百仕达,万事达名苑二期,2室1厅1卫,73.00,南,6300
光明区-光明,龙光玖龙台三期(公寓),2室1厅1卫,45.00,东南,3600
福田区-车公庙,君临天下,1室1厅1卫,76.51,北,14000
南山区-前海,星海名城五期,2室1厅1卫,50.00,南,6200
罗湖区-螺岭,聚龙大厦,2室1厅1卫,56.57,东,4300
南山区-白石洲,侨城豪苑二期,2室2厅1卫,77.00,北,6500
福田区-皇岗,海悦华城,3室2厅2卫,89.00,东北,8500
福田区-梅林,碧荔花园,2室2厅1卫,75.00,北,6300
福田区-梅林,百兴苑,3室2厅2卫,99.60,南,6600
龙岗区-布吉街,德福花园,3室2厅1卫,73.00,东,3800
南山区-蛇口,海月花园二期,4室2厅2卫,148.00,南,14000
南山区-西丽,学子荔园,西,南山区-西丽-学子荔园,7.25㎡,1560
罗湖区-螺岭,京基东方华都,1室1厅1卫,39.00,东南,4200
南山区-蛇口,半岛城邦花园三期,5室2厅2卫,165.00,南,30000
南山区-蛇口,水产楼,3室2厅1卫,88.00,东,7000
龙岗区-坂田,德润荣君府,南,龙岗区-坂田-德润荣君府,10.51㎡,2330
罗湖区-罗湖口岸,罗湖金岸大厦,东北,罗湖区-罗湖口岸-罗湖金岸大厦,7.60㎡,1860
南山区-蛇口,华彩花园,4室1厅2卫,11.60,南,2630
南山区-蛇口,水产楼,3室2厅1卫,88.00,东,7000
光明区-光明,中海寰宇时代花园,4室1厅2卫,8.80,西,1290
龙岗区-布吉街,阳光花园五期,2室1厅1卫,46.35,北,3300
南山区-蛇口,千叶苑,5室1厅2卫,14.20,南,2590
坪山区-坪山,一品澜山,4室2厅2卫,145.00,东南,4000
坪山区-坪山,恒大成二期,3室2厅2卫,95.00,东北,3550
福田区-石厦,新天CBC,4室1厅2卫,158.00,东南 南,16500
福田区-竹子林,鸿新花园,北,福田区-竹子林-鸿新花园,8.70㎡,1678
南山区-南山中心,城市山林,北,南山区-南山中心-城市山林,6.87㎡,1930
盐田区-沙头角,东埔海景花园二期,3室2厅2卫,115.00,东南,7800
龙岗区-坂田,佳兆业中央广场一期,西,龙岗区-坂田-佳兆业中央广场一期,9.84㎡,1590
罗湖区-百仕达,百仕达花园二期,南,罗湖区-百仕达-百仕达花园二期,13.00㎡,1872
南山区-蛇口,半岛城邦花园四期,2室2厅2卫,117.00,东南,19800
罗湖区-黄贝岭,翠华花园,4室2厅1卫,124.00,南,6500
南山区-华侨城,中新街芳华苑,南,南山区-华侨城-中新街芳华苑,6.20㎡,1590
福田区-香梅北,翔名苑,4室2厅1卫,98.00,东北,10500
南山区-南头,前海金岸,2室2厅1卫,72.00,南,7000
龙岗区-坂田,太阳雨家园,3室2厅1卫,84.73,南,6500
福田区-景田,紫薇阁,西,福田区-景田-紫薇阁,55.66㎡,5790
龙岗区-布吉大芬,桂芳园一期,5室3厅1卫,93.75,南,8000
南山区-南山中心,汇宾广场,西北,南山区-南山中心-汇宾广场,11.00㎡,2027
坪山区-坪山,坪山招商花园城北区,5室0厅1卫,145.10,西,15000
龙岗区-坂田,依云山庄,6室2厅3卫,207.00,南,12000
龙华区-民治,潜龙鑫茂花园C区,1室1厅1卫,26.98,北,3130
福田区-福田中心,岗厦辛诚花园,3室2厅2卫,133.00,北,13500
龙华区-上塘,特发和平里,2室2厅1卫,70.00,东南,5300
宝安区-西乡,福中福花园一期,3室2厅2卫,103.00,东南,4900
南山区-南山中心,世纪广场,1室1厅1卫,43.21,东北,5400
龙岗区-龙岗宝荷,京基御景荟都,2室1厅1卫,58.00,南,3200
龙岗区-横岗,信义御城,3室2厅2卫,88.94,东南,4500
南山区-白石洲,中海深圳湾畔花园,4室2厅2卫,141.19,东南,15000
南山区-后海,信和自由广场,4室1厅2卫,5.20,北,1690
光明区-公明,天汇时代花园一期,4室1厅2卫,6.54,西南,1090
福田区-福田中心,福莲花园,4室1厅1卫,11.80,东,2330
